"`id`","`number_of_commits`"
"804708","5"
"811373","1259"
"811401","884"
"812923","20"
"839143","35"
"843214","2"
"870927","96"
"911527","10"
"927777","77"
"979207","27"
"1001578","1287"
"1008365","90"
"1009716","38"
"1015480","31"
"1017307","44"
"1025135","91"
"1027466","15"
"1031791","41"
"1036996","77"
"1059797","180"
"1084208","8"
"1093294","49"
"1100704","8"
"1117036","72"
"1124381","10"
"1195142","120"
"1214622","7"
"1242075","111"
"1261926","8"
"1270737","2456"
"1344179","837"
"1352199","2012"
"1354419","129"
"1366256","472"
"1367068","189"
"1367228","1413"
"1372746","150"
"1381021","2153"
"1382032","27"
"1391701","71"
"1397125","22"
"1397723","2635"
"1404659","121"
"1412018","14"
"1414836","3"
"1416473","590"
"1432150","214"
"1434458","231"
"1436875","3"
"1437288","560"
"1438441","2148"
"1449551","12"
"1453441","5"
"1457727","717"
"1471234","62"
"1471568","6"
"1474764","110"
"1486549","484"
"1492346","31"
"1500447","177"
"1524373","214"
"1526024","8"
"1528221","26534"
"1545229","118"
"1546988","16"
"1600439","2"
"1607018","3"
"1619676","318"
"1690743","103"
"1698522","1004"
"1713442","1720"
"1749436","340"
"1764042","39"
"1778841","130"
"1799111","6"
"1819251","8"
"1838125","906"
"1852141","65"
"1886159","300"
"1890840","219"
"1891776","45"
"1892389","324"
"1893164","43"
"1900934","798"
"1903462","4"
"1904790","2"
"1916255","30"
"1918558","8"
"1927874","434"
"1927881","51"
"1949584","3"
"1961397","1611"
"1964893","19"
"1965404","74"
"1977847","171"
"1989790","1442"
"1991636","600"
"2146436","35"
"2201979","13"
"2206890","5"
"2207463","5"
"2213273","4"
"2241376","32"
"2244312","78"
"2244481","107"
"2246039","16"
"2249262","21"
"2250690","413"
"2252680","16"
"2255699","8"
"2257096","2188"
"2257240","5165"
"2266052","402"
"2281243","158"
"2281819","373"
"2294498","7696"
"2312008","343"
"2315431","80"
"2337743","195"
"2340614","67"
"2345204","168"
"2363619","88"
"2363758","4234"
"2365356","10"
"2372421","141"
"2375290","16"
"2381629","115"
"2381679","25"
"2389915","354"
"2404370","139"
"2409137","5"
"2417208","30"
"2421460","38"
"2422498","78"
"2434520","1"
"2445228","21"
"2447212","125"
"2467228","3"
"2476937","27"
"2480777","5"
"2513836","38"
"2535892","53"
"2572814","4"
"2601235","19"
"2624458","3"
"2660015","10"
"2661903","35"
"2662867","103"
"2702530","480"
"2709309","10"
"2719572","263"
"2728868","346"
"2739871","182"
"2749609","5"
"2752178","504"
"2768008","782"
"2771181","9"
"2787691","323"
"2796362","70"
"2798946","22"
"2801361","23"
"2807863","111"
"2814268","336"
"2835325","89"
"2847808","1240"
"2862294","110"
"2862977","18"
"2873371","2"
"2874293","6"
"2875658","95"
"2886485","2"
"2889040","161"
"2909754","5"
"2922319","907"
"2922620","12"
"2923558","387"
"2940997","1"
"2945321","3"
"2978560","464"
"2987164","28"
"3004769","3"
"3018979","372"
"3036595","8"
"3036835","10"
"3048906","80"
"3063823","697"
"3063870","6"
"3067095","255"
"3095960","1"
"3117680","4062"
"3122758","9"
"3136825","7594"
"3168742","206"
"3173347","34"
"3180895","21"
"3201792","1745"
"3205751","4"
"3213902","201"
"3236423","29"
"3250844","25"
"3276139","1307"
"3283518","1"
"3286419","108"
"3287419","15"
"3290625","9785"
"3296518","9"
"3321949","661"
"3346024","1508"
"3361740","116"
"3368849","195"
"3389811","46"
"3413879","286"
"3427780","107"
"3429645","83"
"3434493","1592"
"3462816","344"
"3465213","90"
"3487382","125"
"3498338","86"
"3499917","35"
"3513117","306"
"3523460","433"
"3524332","146"
"3529137","210"
"3549651","9"
"3582345","98"
"3592410","4"
"3594572","26"
"3610783","224"
"3631888","73"
"3641172","24"
"3642978","1860"
"3649472","160"
"3659421","29"
"3664437","1790"
"3669790","5"
"3683487","9"
"3706501","195"
"3708910","26"
"3714509","64"
"3716978","418"
"3752385","135"
"3756185","68"
"3759006","527"
"3769056","10"
"3770464","33"
"3807912","305"
"3814424","17"
"3827244","108"
"3863843","367"
"3872943","3"
"3874746","31"
"3877884","9"
"3893356","95"
"3905191","8551"
"3908715","137"
"3961217","17"
"3983276","13"
"3992573","119"
"3997006","3"
"4003838","2539"
"4019026","158"
"4026408","158"
"4030767","4"
"4035765","41"
"4045632","20"
"4052435","7"
"4058558","12"
"4069483","500"
"4115240","61"
"4120130","217"
"4136027","2077"
"4142580","45"
"4160390","105"
"4192518","13"
"4198417","346"
"4255397","36"
"4326459","100"
"4342100","47"
"4420524","738"
"4428725","52"
"4467262","63"
"4476638","5"
"4477515","68"
"4484156","1099"
"4513783","274"
"4539094","68"
"4540322","56"
"4563307","229"
"4563494","8486"
"4569976","24"
"4584491","225"
"4588007","340"
"4605271","320"
"4607985","107"
"4629745","17"
"4646758","312"
"4660569","7"
"4663721","97"
"4695209","168"
"4722740","6"
"4753416","30"
"4773093","132"
"4776433","17"
"4780077","1"
"4786655","61"
"4809226","1"
"4819374","339"
"4877698","200"
"4879481","10"
"4882831","240"
"4894767","327"
"4899910","18"
"4903941","1"
"4904730","116"
"4911527","2714"
"4926223","69"
"4933925","18"
"4963729","81"
"4988377","188"
"4992188","1013"
"4993581","4"
"5041761","14"
"5042362","137"
"5074778","422"
"5078978","21"
"5095078","2161"
"5120709","9"
"5140545","625"
"5145060","52"
"5146456","84"
"5152250","12"
"5195927","6"
"5205541","101"
"5216745","241"
"5312058","185"
"5350409","207"
"5368058","284"
"5371237","87"
"5377260","153"
"5379586","100"
"5398997","1"
"5399390","148"
"5411876","26"
"5428457","54"
"5430540","11"
"5435325","510"
"5472160","52"
"5507363","2190"
"5522468","202"
"5534759","243"
"5548430","1"
"5552730","60"
"5555823","177"
"5565375","336"
"5568720","39"
"5573155","11"
"5593627","90"
"5597614","14"
"5598479","2408"
"5600557","174"
"5602838","93"
"5604899","289"
"5617024","124"
"5630665","97"
"5636078","1336"
"5718353","233"
"5731028","1"
"5741726","335"
"5778983","118"
"5784154","37"
"5807266","1042"
"5812279","3"
"5817753","1059"
"5828347","8204"
"5829099","47"
"5846748","617"
"5927767","12"
"5942149","413"
"5944667","95"
"5979563","42"
"5989485","24"
"6013073","86"
"6065511","229"
"6068879","323"
"6085795","80"
"6087555","24"
"6095575","27"
"6096676","262"
"6108651","3"
"6169171","75"
"6172020","992"
"6191402","27"
"6196408","388"
"6210932","105"
"6236268","837"
"6239513","23"
"6253776","172"
"6278048","418"
"6278863","5"
"6280726","49"
"6299920","19"
"6307815","16"
"6312005","338"
"6318240","61"
"6328765","686"
"6399055","124"
"6403871","250"
"6404061","6"
"6412773","3478"
"6441856","755"
"6442229","911"
"6451691","166"
"6457494","33"
"6462793","63"
"6476825","33"
"6496393","4699"
"6499244","2"
"6505671","2"
"6533556","14"
"6571469","2"
"6587692","31"
"6611850","119"
"6653643","3687"
"6699074","1891"
"6704373","178"
"6712024","88"
"6753616","346"
"6800846","20"
"6816151","282"
"6843683","125543"
"6853230","8"
"6861499","195"
"6882788","16"
"6916565","77"
"6962535","2"
"6965555","25"
"6965574","42"
"6970257","33"
"6988298","193"
"6988998","124"
"7001356","367"
"7013556","27"
"7019686","618"
"7075652","222"
"7105340","57"
"7113913","930"
"7132386","87"
"7147408","130"
"7158417","132"
"7164842","95"
"7170693","1296"
"7189065","215"
"7190023","84"
"7198962","21"
"7212462","2754"
"7215130","806"
"7222746","316"
"7228519","1138"
"7240106","749"
"7249970","6"
"7260288","132"
"7266288","155"
"7294438","43"
"7304063","236"
"7305150","68"
"7306369","13"
"7306673","299"
"7308213","9"
"7326980","115"
"7344511","33"
"7361572","9"
"7383416","7"
"7412153","27"
"7420900","597"
"7432562","430"
"7461031","936"
"7489584","696"
"7504851","50"
"7537997","244"
"7553911","1"
"7556976","8"
"7570729","439"
"7607012","108"
"7617634","584"
"7623896","1"
"7645899","7"
"7654253","94"
"7666955","434"
"7722836","121"
"7732133","39"
"7738640","95"
"7751311","273"
"7753732","1422"
"7769665","309"
"7808122","209"
"7810452","133"
"7811703","21"
"7835118","378"
"7846270","1"
"7883108","42"
"7883561","103"
"7924929","78"
"7940296","2"
"7952993","253"
"7980702","64"
"8012811","172"
"8017772","1024"
"8091268","3"
"8117762","74"
"8117944","57"
"8125526","122"
"8137228","437"
"8142691","140"
"8162617","6"
"8169424","100"
"8170478","64"
"8228397","114"
"8270641","5"
"8296041","317"
"8339162","14"
"8339915","11"
"8346508","5"
"8387817","16"
"8390641","24"
"8404580","40"
"8405131","228"
"8427119","9"
"8485455","61"
"8515356","75"
"8532385","125"
"8532554","66"
"8566806","204"
"8576259","188"
"8596480","42"
"8634501","1148"
"8670482","91"
"8688328","918"
"8734343","166"
"8742938","26"
"8769923","143"
"8772689","104"
"8776028","210"
"8784767","93"
"8789813","1"
"8818018","523"
"8837968","3"
"8847632","18"
"8854423","5"
"8875437","163"
"8875464","869"
"8905797","589"
"8906917","109"
"8913435","100"
"8939716","26"
"8944249","4"
"8984199","2"
"9026379","7"
"9051214","32"
"9078570","20"
"9121894","324"
"9139436","9"
"9160279","3"
"9232309","794"
"9240557","23"
"9255018","1"
"9268752","126"
"9282939","162"
"9343717","93"
"9344074","1241"
"9352549","128"
"9380376","7"
"9382176","38"
"9392393","6"
"9400432","1038"
"9464549","1"
"9468307","61"
"9478333","760"
"9504109","65"
"9511165","101"
"9540082","1"
"9570005","153"
"9589511","11"
"9597076","31"
"9599053","3"
"9600790","17"
"9626183","31387"
"9650960","43"
"9658872","8644"
"9659919","168"
"9664486","325"
"9677139","1643"
"9687174","139"
"9701410","2"
"9701695","472"
"9703605","44"
"9704915","94"
"9706049","105572"
"9709068","175"
"9709116","258"
"9717218","163"
"9726637","16"
"9727940","1213"
"9745677","72"
"9755937","45"
"9777067","53"
"9814221","4"
"9817959","117"
"9843828","40"
"9862004","1305"
"9865676","266"
"9866862","10"
"9877090","122"
"9893161","23"
"9895007","27"
"9906217","11038"
"9908329","156"
"9912292","31"
"9930325","46"
"9931815","465"
"9961002","516"
"9975034","63"
"9982219","18"
"9983686","15"
"9995314","29"
"10053600","786"
"10060643","6636"
"10066441","3"
"10084609","93"
"10084678","3200"
"10123492","28"
"10125352","62"
"10128842","3"
"10138664","65"
"10172252","3"
"10172529","112"
"10188194","432"
"10192555","51"
"10196307","281"
"10199826","1154"
"10233169","14"
"10258995","12"
"10260310","12"
"10260382","29"
"10280298","4"
"10281182","5"
"10281816","2"
"10282819","77"
"10296656","512"
"10301817","870"
"10358518","119"
"10377821","808"
"10379711","988"
"10388177","197"
"10396798","1198"
"10410843","67"
"10412281","755"
"10425716","113"
"10432015","2374"
"10435441","702"
"10435922","116"
"10447564","27"
"10451754","41"
"10464490","107"
"10473430","521"
"10512042","18"
"10520061","811"
"10521722","1484"
"10526188","124"
"10528918","5"
"10541844","21"
"10548198","2335"
"10555368","75"
"10574931","55"
"10576004","5464"
"10585250","1003"
"10589306","16"
"10631290","139"
"10660095","35"
"10732476","114"
"10733538","14"
"10741429","38"
"10752463","379"
"10773454","265"
"10777706","972"
"10784470","410"
"10803994","47"
"10812016","151"
"10814377","370"
"10815238","330"
"10817458","1293"
"10819648","37"
"10829089","141"
"10829314","142"
"10832091","536"
"10832897","169"
"10832960","275"
"10834528","252"
"10854850","167"
"10859865","1"
"10905378","5"
"10910878","234"
"10936889","612"
"10947458","246"
"10953007","96"
"10955983","83"
"10956038","320"
"10956567","29"
"10963081","29"
"10964976","33"
"11001304","1173"
"11006951","2"
"11026907","6"
"11034513","3"
"11061859","164"
"11066875","8"
"11072255","180"
"11080800","35"
"11083412","4"
"11095632","106"
"11107988","383"
"11120703","62"
"11127510","936"
"11132347","146"
"11139593","340"
"11144636","140"
"11165808","47"
"11173957","18"
"11175147","30"
"11176827","71"
"11182376","140"
"11183490","9"
"11197300","232"
"11212499","3"
"11227723","204"
"11228451","530"
"11238565","177"
"11265367","317"
"11291526","394"
"11297052","16"
"11318999","183"
"11323491","434"
"11338993","78"
"11348682","35"
"11362536","204"
"11384611","34"
"11402707","584"
"11453235","32"
"11467831","7"
"11473240","215"
"11474560","14"
"11494393","4568"
"11512622","14"
"11537177","57"
"11554847","35"
"11570176","57"
"11581362","10"
"11588385","2"
"11605642","455"
"11622535","3092"
"11625417","64"
"11662013","176"
"11668604","28"
"11680693","9"
"11698195","354"
"11702237","326"
"11704557","80"
"11706023","642"
"11707880","222"
"11720517","18"
"11733127","4"
"11735060","180"
"11737051","174"
"11744765","457"
"11746264","28"
"11753236","411"
"11761587","122"
"11784159","245"
"11785544","118"
"11797084","74"
"11802012","30"
"11817714","1"
"11850935","123"
"11854803","1016"
"11912097","30"
"11924541","41"
"12059663","2"
"12092942","5"
"12170217","277"
"12192051","534"
"12197208","85"
"12226983","387"
"12229395","8"
"12260707","231"
"12262320","18"
"12274903","18"
"12280393","9"
"12308151","83"
"12313618","12"
"12315617","68"
"12316998","49"
"12317433","13"
"12326365","198"
"12350238","5"
"12398542","2"
"12402890","125"
"12449377","10"
"12474524","50"
"12488104","2"
"12505449","51"
"12508484","23"
"12509066","58"
"12516628","11"
"12520304","101"
"12526520","9"
"12582238","250"
"12586102","139"
"12589909","11"
"12622087","30"
"12630000","56"
"12653317","427"
"12666384","2458"
"12670029","84"
"12682828","8"
"12682853","1122"
"12715530","54"
"12719568","92"
"12738012","5"
"12740796","164"
"12746037","349"
"12749140","1939"
"12761803","8"
"12798077","148"
"12806676","227"
"12807650","70"
"12814859","1298"
"12821674","211"
"12861561","75"
"12878383","28"
"12908987","151"
"12967267","4"
"12998527","344"
"13061306","236"
"13071706","366"
"13082203","21"
"13095216","8648"
"13097260","134"
"13126326","126"
"13128433","62"
"13155583","5"
"13334964","337"
"13368782","56"
"13393204","268"
"13398866","11"
"13403042","1476"
"13413696","47"
"13415499","1"
"13430369","77"
"13454056","187"
"13462180","784"
"13464028","23"
"13480659","12"
"13481226","499"
"13489032","204"
"13490952","30"
"13494877","188"
"13509074","206"
"13520780","117"
"13523497","93"
"13537757","15"
"13539138","292"
"13541961","10"
"13544235","61"
"13570263","16"
"13585659","7"
"13593152","79"
"13595364","63"
"13603046","3"
"13613053","345"
"13615253","379"
"13621454","29"
"13624635","12"
"13635889","67"
"13636329","16"
"13636760","16"
"13636819","9"
"13640327","272"
"13642463","423"
"13655055","17"
"13664602","206"
"13679102","239"
"13680016","28"
"13685691","17"
"13714859","10"
"13719308","31"
"13719548","11"
"13735930","102"
"13737011","339"
"13740270","8"
"13742311","95"
"13747237","125"
"13747894","45"
"13759969","44"
"13766624","22"
"13778815","9"
"13808342","15"
"13822802","5"
"13837159","342"
"13865588","27"
"13867933","27"
"13964115","1"
"14000694","1095"
"14027141","102"
"14057734","63"
"14101318","89"
"14116012","73"
"14149638","4"
"14179437","6"
"14210902","202"
"14263163","170"
"14286406","810"
"14287549","1"
"14310944","136"
"14328878","17"
"14429281","1"
"14435272","27"
"14457963","741"
"14486832","2"
"14505051","287"
"14515342","1838"
"14543063","60"
"14545279","484"
"14627410","36"
"14666817","119"
"14682420","1978"
"14698825","31"
"14737226","106"
"14756103","1"
"14771481","775"
"14773650","863"
"14782669","56"
"14806250","14"
"14846150","1056"
"14847736","215"
"14848865","5"
"14880605","53"
"14897153","18"
"14910241","2"
"14914675","27"
"14922006","21"
"14957066","214"
"14959628","52"
"14989257","129"
"14995115","300"
"15017277","48"
"15022227","10161"
"15080529","173"
"15093986","1"
"15125364","44"
"15134766","79"
"15195328","105"
"15205847","35"
"15228302","5"
"15239162","7"
"15246185","62"
"15252261","3"
"15285403","17"
"15363005","23"
"15393494","182"
"15417633","14"
"15471020","34"
"15500909","339"
"15509641","91"
"15525750","599"
"15531805","9"
"15536213","44"
"15536505","98"
"15548976","115"
"15563546","3"
"15573016","37"
"15592045","652"
"15612970","302"
"15623292","1676"
"15627284","207"
"15646653","389"
"15669545","173"
"15676204","480"
"15708243","8"
"15708458","37"
"15710174","370"
"15718946","124"
"15729314","11516"
"15743643","366"
"15759579","4"
"15778405","1238"
"15793721","12"
"15794603","36"
"15867274","61"
"15915198","3"
"15956179","79"
"15962985","188"
"15998060","15"
"16020916","12"
"16030648","102"
"16077481","66"
"16116800","84"
"16154948","43"
"16174927","48"
"16195282","105"
"16219560","89"
"16224803","31"
"16230400","148"
"16290623","4"
"16307010","10"
"16310355","269"
"16363717","1"
"16409333","20"
"16415741","155"
"16423884","28"
"16428381","103"
"16534152","293"
"16550843","1"
"16569855","1"
"16611808","515"
"16622735","27"
"16638704","11"
"16640920","174"
"16647116","1377"
"16691009","3"
"16717734","4"
"16723951","13"
"16730686","4"
"16733587","5"
"16741757","713"
"16754990","146"
"16770502","191"
"16782015","373"
"16792291","515"
"16798228","78"
"16834666","9"
"16837900","120"
"16846494","146"
"16904075","35"
"16949824","22"
"16988042","28"
"16988139","93"
"17009322","56"
"17020688","34"
"17021738","63"
"17036156","476"
"17038695","24"
"17059127","329"
"17070556","9"
"17081302","170"
"17134485","4"
"17139019","157"
"17143234","1"
"17169141","1"
"17193964","1"
"17251459","24"
"17273246","52"
"17296591","3907"
"17322266","4"
"17328893","219"
"17332041","47"
"17373284","74"
"17392942","3"
"17466008","6"
"17466721","74"
"17472048","136"
"17479978","60"
"17529102","1"
"17532093","72"
"17539972","65"
"17593904","991"
"17629210","21079"
"17646483","19"
"17648544","1"
"17664209","2"
"17708574","14"
"17746668","7"
"17753126","53"
"17784660","2"
"17785086","89"
"17830752","1"
"17840201","534"
"17865733","177"
"17867788","250"
"17879187","147"
"17921081","45"
"17922358","165"
"17924077","471"
"17941398","22"
"17964103","226"
"17982139","4"
"17982701","40"
"18006157","168"
"18013712","36"
"18022219","1488"
"18026805","8"
"18028838","179"
"18029648","299"
"18035907","42"
"18046266","124"
"18054793","642"
"18059452","39"
"18059812","101"
"18097224","5"
"18199108","2"
"18236982","82"
"18257960","503"
"18258297","2"
"18260477","1297"
"18272904","394"
"18290070","12"
"18313948","43"
"18355741","1"
"18415473","38"
"18418200","584"
"18429672","563"
"18461617","13"
"18469788","172"
"18498547","1"
"18507554","13"
"18513548","3687"
"18552022","437"
"18646362","22"
"18655199","247"
"18674058","35"
"18714651","578"
"18719465","6"
"18781956","585"
"18790667","22"
"18810686","130"
"18821370","578"
"18822502","543"
"18847237","48"
"18869596","65"
"18903735","25"
"18904813","3150"
"18937463","131"
"18993586","75"
"19010386","901"
"19047987","113"
"19085523","53"
"19099635","22"
"19122404","12"
"19147330","130"
"19185130","85"
"19314846","87"
"19320997","399"
"19329970","3"
"19379132","8"
"19517346","1"
"19525779","50"
"19537063","1"
"19552315","154"
"19569279","25"
"19581764","23"
"19594347","10"
"19600642","10"
"19612571","304"
"19630614","134"
"19637265","9"
"19641501","4"
"19644716","251"
"19664730","262"
"19685186","85"
"19689982","62"
"19696936","271"
"19710500","65"
"19717550","18"
"19755702","15"
"19758699","408"
"19761685","7"
"19820804","11"
"19823479","38"
"19936916","7"
"19943063","754"
"20008478","176"
"20029138","77"
"20029706","3"
"20030610","7"
"20064306","1"
"20138487","980"
"20163538","49"
"20224741","1"
"20226295","2"
"20265215","63"
"20285835","23"
"20311740","7"
"20349010","2"
"20378057","129"
"20390809","19"
"20398795","3"
"20410311","24"
"20425918","159"
"20434473","24"
"20435182","49"
"20450716","56"
"20450796","193"
"20465270","5"
"20508542","776"
"20532547","32"
"20532667","115"
"20634755","2"
"20637830","98"
"20647545","23"
"20666664","220"
"20680088","26"
"20682630","144"
"20737229","192"
"20752407","38"
"20754312","113"
"20769533","1"
"20774253","35"
"20835622","2"
"20844574","37"
"20873386","7"
"20925694","33"
"20935792","152"
"20955762","4"
"21034797","24"
"21044484","20"
"21058198","1829"
"21065369","27"
"21125630","17"
"21174695","67"
"21187110","135"
"21191867","1"
"21216818","23"
"21312489","5"
"21341462","100"
"21358389","2"
"21603107","25"
"21618029","21"
"21629316","91"
"21640858","1"
"21719074","30"
"21770593","44"
"21784371","27"
"21864762","12"
"21908633","13"
"21921763","120"
"21924858","25"
"21971963","345"
"21974766","23"
"22041659","126"
"22042237","2062"
"22045114","86"
"22046894","311"
"22047350","541"
"22050640","135"
"22052042","2"
"22053634","72"
"22053762","107"
"22054830","79"
"22056425","80"
"22056630","101"
"22076833","53"
"22077026","363"
"22084327","73"
"22085827","5"
"22095887","37"
"22105376","433"
"22110826","130"
"22116372","7"
"22123631","4"
"22141768","11"
"22167327","3"
"22208853","73"
"22211488","1"
"22236354","13"
"22278515","9"
"22331562","7"
"22402010","245"
"22513118","3"
"22822302","10"
"22823126","1"
"22833631","83"
"22946554","33"
"22984128","55"
"23114966","5"
"23115673","1"
"23249012","36"
"23428045","17"
"23458675","43"
"23465223","1"
"23471356","10"
"23537807","8"
"23600597","63"
"23620520","104"
"23775197","25"
"23918553","10"
"23924596","2"
"23961495","40"
"23964055","1"
"24094301","1"
"24136448","21"
"24177440","20"
"24240637","12"
"24265177","8"
"24272262","117"
"24283325","7"
"24349402","1"
"24431405","1"
"24491126","13"
"24495953","4947"
"24498221","1"
"24540619","62"
"24568290","117"
"24618268","2"
"24663283","1"
"24729237","11"
"24899862","3"
"24900752","2"
"24908811","35"
"24919055","89"
"24938003","28"
"25004073","4"
"25032410","14"
"25037257","7"
"25037627","43"
"25040693","1"
"25045443","33"
"25051824","62"
"25070656","460"
"25076502","1"
"25256022","37"
"25256938","9"
"25395643","71"
"25440413","6"
"25545538","3"
"25650073","11"
"25672260","15"
