"`id`","`stars`"
"6","7267"
"231","3039"
"280","3529"
"334","15477"
"391","138"
"392","26240"
"675","6079"
"735","1059"
"788","2267"
"799","2553"
"982","437"
"1022","1044"
"1182","2178"
"1207","2246"
"1305","1791"
"1615","1100"
"1620","1322"
"1742","7975"
"1743","2173"
"1799","2437"
"1819","180"
"1962","400"
"1996","4243"
"2146","1718"
"2204","905"
"2727","4133"
"2746","1608"
"2864","526"
"3052","108"
"3386","718"
"3430","6806"
"3457","1366"
"3595","1229"
"3623","2420"
"3648","24"
"3751","42"
"3928","2999"
"4003","464"
"4021","1257"
"4068","2375"
"4095","10737"
"4267","505"
"4276","1118"
"4281","221"
"4346","1118"
"4432","1047"
"4473","285"
"4654","1489"
"4711","2263"
"4846","6929"
"4929","2629"
"5124","3193"
"5161","2782"
"5184","1656"
"5455","13168"
"5478","1611"
"5497","881"
"5626","2396"
"5629","890"
"5874","3839"
"6009","4881"
"6053","253"
"6223","3193"
"6313","41395"
"6413","1085"
"6848","1764"
"6931","351"
"6978","173"
"7059","1371"
"7149","1217"
"7233","2476"
"7317","2779"
"7756","994"
"7836","1797"
"7982","3423"
"8127","2929"
"8184","6081"
"8304","2101"
"8329","2775"
"8390","1980"
"8525","4084"
"8566","1852"
"8833","1033"
"8892","162"
"9259","1494"
"9383","260"
"9682","4122"
"9709","994"
"9713","336"
"9716","1760"
"9951","1106"
"10070","1172"
"10197","2436"
"10462","225"
"10512","864"
"10579","576"
"10594","117"
"10649","235"
"10686","117"
"10798","6964"
"10912","3537"
"11067","26"
"11435","3905"
"11820","1779"
"11902","1546"
"12031","2673"
"12257","125"
"12258","14411"
"12830","2544"
"12831","1686"
"12885","5959"
"13235","2429"
"13436","209"
"13718","435"
"13747","241"
"13929","3896"
"14061","2560"
"14098","1676"
"14622","1091"
"14763","1036"
"14952","2958"
"15433","1285"
"15728","1239"
"15756","4056"
"15762","2519"
"16113","166"
"16376","332"
"16462","2163"
"16639","1031"
"16820","4137"
"16836","1228"
"17000","554"
"17165","2377"
"17411","1068"
"17730","1246"
"17742","1055"
"17798","1177"
"18003","418"
"18045","6143"
"18090","239"
"18250","67"
"18571","3232"
"18601","546"
"18941","244"
"19019","81"
"19030","397"
"19375","116"
"19579","250"
"19615","17"
"19626","4975"
"19640","1998"
"19806","3759"
"19996","2914"
"20138","2673"
"20678","110"
"21218","2436"
"21274","7381"
"21530","122"
"21621","433"
"22086","1173"
"22321","1021"
"22528","5216"
"22551","655"
"22772","42"
"23085","186"
"23122","1563"
"23238","1139"
"23301","3155"
"23429","59"
"23605","1482"
"23670","598"
"23834","6592"
"23888","1070"
"24177","626"
"24213","421"
"24326","1231"
"24522","197"
"24559","1471"
"24603","1174"
"24889","1142"
"24960","1048"
"25016","168"
"25359","253"
"25380","2485"
"25986","122"
"26624","3991"
"26636","807"
"26688","1966"
"27046","161"
"27194","1114"
"28009","1968"
"28054","1184"
"28069","1799"
"28204","4647"
"28556","1363"
"28576","284"
"29172","5344"
"29762","1176"
"29914","2456"
"29991","1307"
"30402","546"
"30653","39"
"30738","2018"
"30761","171"
"31283","1961"
"31366","11059"
"32023","3653"
"32107","232"
"32638","1597"
"33227","169"
"33565","4215"
