"`id`","`avg_followers`"
"18250","59.0000"
"23429","54.5000"
"48829","36.0000"
"58642","57.6154"
"78782","332.0000"
"94451","35.0000"
"120707","84.0000"
"126528","15.5000"
"169529","22.5000"
"189681","6.0000"
"220953","235.0000"
"238698","70.5000"
"244129","7.0000"
"244417","5.6000"
"363605","37.0000"
"427496","27.7500"
"579759","8.0000"
"615055","18.5000"
"640609","19.0000"
"724361","95.5000"
"726806","16.6000"
"750986","164.8947"
"979207","89.0000"
"1084208","64.0000"
"1214622","79.0000"
"1412018","41.0000"
"1453441","7.0000"
"1600439","5.0000"
"1852141","211.1429"
"1964893","28.6667"
"2206890","54.0000"
"2244481","49.0000"
"2246039","2.5000"
"2266052","51.5000"
"2312008","5.5000"
"2375290","1.0000"
"2445228","5.0000"
"2660015","305.0000"
"2874293","20.0000"
"2940997","7374.0000"
"3462816","26.0000"
"3641172","19.0000"
"3669790","4.0000"
"3770464","4.5000"
"3872943","141.0000"
"4780077","700.0000"
"4911527","859.5714"
"5718353","36.3333"
"5944667","126.2500"
"5989485","4.0000"
"6307815","159.0000"
"6404061","479.3333"
"6965574","39.0000"
"7075652","42.6667"
"7198962","26.0000"
"7249970","208.6667"
"7305150","32.0000"
"7306369","105.0000"
"7361572","8514.0000"
"7432562","86.5714"
"7811703","8514.0000"
"7883108","62.0000"
"7883561","404.8667"
"8270641","4.0000"
"8387817","92.0000"
"8596480","5.0000"
"8670482","2.0000"
"8875464","20.8667"
"9160279","15.0000"
"9504109","25.3333"
"9540082","215.0000"
"9704915","93.0000"
"9709068","132.0000"
"9865676","96.0000"
"9893161","8.0000"
"9982219","22.0000"
"10084609","44.0000"
"10192555","5.0000"
"10199826","4.2000"
"10526188","99.8571"
"10589306","14.3333"
"11080800","42.0000"
"11720517","1643.0000"
"11733127","19.0000"
"11735060","82.6667"
"12262320","15.0000"
"12313618","50.0000"
"12315617","302.3333"
"12316998","128.0000"
"12509066","431.0000"
"12589909","16.0000"
"13747894","671.3333"
"14000694","27.0000"
"14737226","234.0000"
"14806250","337.0000"
"15646653","11.0000"
"15794603","56.0000"
"16988042","71.0000"
"17273246","81.0000"
"17879187","7.0000"
"18028838","2.0000"
"18260477","7.5714"
"18272904","117.7500"
"18993586","11.0000"
"19685186","145.0000"
"20226295","5.0000"
"21065369","2.8000"
"21125630","1758.0000"
"21603107","35.0000"
"22402010","23.8182"
"24540619","68.5000"
"25977484","72.0000"
"26674333","1.0000"
"26783304","29.5000"
"27375757","494.0000"
"28085151","1409.7500"
