"`id`","`max_followers`"
"13929","7374"
"22772","1623"
"134290","132"
"303616","94"
"383256","99"
"455467","41"
"576260","213"
"673716","43"
"686542","742"
"1017307","215"
"1031791","399"
"1093294","17"
"1449551","66"
"2909754","21"
"3173347","12"
"4058558","96"
"4569976","4"
"5573155","1"
"8789813","1"
"10060643","1400"
"10733538","14"
"10741429","1"
"11348682","1"
"11453235","238"
"12516628","24"
"12807650","9"
"13126326","62"
"13778815","35"
"14310944","2228"
"14435272","6"
"15743643","793"
"16569855","3"
"16904075","15"
"17322266","1"
"18029648","191"
"20029138","8"
"20285835","14"
"20378057","46"
"20410311","2821"
"20532667","2762"
"21034797","3"
"21216818","37"
"21864762","105"
"22076833","63"
"22116372","5"
"25256022","3"
"26961388","4"
"27434109","7"
"27980298","9"
"28459924","192"
