"`id`","`max_followers`"
"735","1811"
"799","1304"
"1182","879"
"1305","923"
"1742","474"
"3430","608"
"4068","5011"
"4346","1828"
"5124","450"
"5874","2718"
"7233","9256"
"7982","2970"
"9682","3649"
"9716","99"
"10798","6052"
"11902","6052"
"12258","5011"
"14061","500"
"14622","156"
"16836","63"
"17411","253"
"18571","668"
"19626","338"
"19806","2011"
"19996","985"
"20138","1405"
"23122","2561"
"23605","17709"
"23834","7374"
"28054","479"
"28069","1354"
"28204","573"
"29914","16804"
"36413","2011"
"54491","566"
"59607","3225"
"96553","924"
"119977","715"
"158753","380"
"167303","277"
"182702","108"
"219601","495"
"243431","759"
"280617","447"
"328815","276"
"696102","5011"
"784448","20"
"1001578","442"
"1366256","93"
"1432150","2443"
"1437288","74"
"1528221","1181"
"1698522","228"
"1927874","1211"
"1961397","195"
"2363619","4283"
"2363758","537"
"3201792","526"
"3346024","2011"
"3368849","428"
"3427780","566"
"3716978","170"
"3759006","155"
"3863843","92"
"4198417","3225"
"4588007","126"
"4605271","696"
"4877698","243"
"4963729","1174"
"5435325","592"
"5507363","759"
"6096676","3359"
"6278048","4283"
"6312005","566"
"6699074","1738"
"6712024","926"
"6843683","5"
"6988998","15704"
"7001356","384"
"7019686","581"
"7212462","156"
"7240106","5433"
"7260288","420"
"7304063","784"
"7607012","28"
"7666955","1295"
"7751311","268"
"8017772","1572"
"8776028","199"
"8906917","432"
"9232309","260"
"9570005","2561"
"9906217","1462"
"9961002","344"
"10425716","6600"
"10464490","1667"
"10548198","442"
"10576004","2669"
"10815238","392"
"10910878","210"
"10947458","520"
"11132347","46"
"11144636","530"
"11238565","3359"
"11588385","82"
"11784159","2228"
"11854803","1480"
"12682828","698"
"12740796","289"
"12798077","11704"
"12908987","846"
"13403042","1663"
"13462180","35"
"13520780","448"
"13593152","857"
"13595364","20"
"13679102","926"
"13737011","497"
"14505051","47"
"14545279","927"
"14782669","277"
"14959628","17709"
"15592045","3831"
"15778405","857"
"16837900","107"
"18257960","1390"
"18313948","82"
"18674058","1655"
"18847237","29"
"18869596","552"
"19010386","282"
"21924858","23"
"22042237","292"
"25070656","39"
"27623476","833"
"28401052","252"
"28992266","783"
