"`id`","`max_followers`"
"1819","1036"
"6931","67"
"7756","621"
"9383","421"
"12257","139"
"13747","226"
"16113","187"
"17000","1566"
"18090","1136"
"21530","1354"
"24213","282"
"24522","2443"
"25016","900"
"25359","1567"
"30761","10"
"33656","299"
"37623","241"
"38744","182"
"42948","42"
"45669","483"
"49570","688"
"58903","139"
"64654","68"
"87869","1353"
"113880","16804"
"126778","296"
"167985","1471"
"185861","724"
"216447","6052"
"242564","50"
"348868","27"
"362894","121"
"366402","1150"
"643697","343"
"705818","253"
"771049","63"
"1008365","318"
"1372746","228"
"1545229","1655"
"1819251","2"
"1927881","10"
"1965404","283"
"2249262","119"
"2340614","117"
"2807863","166"
"2862977","121"
"3276139","19383"
"3631888","6"
"3874746","65"
"3908715","56"
"4069483","147"
"4160390","24"
"4192518","27"
"4513783","331"
"4540322","40"
"4660569","108"
"4988377","327"
"5074778","20"
"5411876","105"
"5807266","152"
"5942149","31"
"6013073","54"
"6253776","56"
"6278863","18"
"6318240","3184"
"7105340","345"
"7132386","158"
"7158417","145"
"7190023","635"
"7294438","537"
"7308213","181"
"7420900","106"
"7722836","1086"
"7808122","34"
"7810452","2970"
"7924929","92"
"8012811","420"
"8137228","57"
"8169424","34"
"8427119","442"
"8576259","1015"
"8634501","1001"
"8688328","1381"
"8734343","180"
"8784767","1473"
"9352549","111"
"9400432","523"
"9717218","47"
"9930325","282"
"10233169","698"
"10258995","148"
"10410843","126"
"10660095","8"
"11175147","52"
"11265367","78"
"11338993","124"
"11362536","2011"
"11474560","1194"
"11554847","51"
"11622535","967"
"11704557","6"
"11706023","164"
"11737051","66"
"12197208","45"
"12586102","1453"
"13481226","898"
"13615253","20"
"14957066","241"
"15195328","759"
"15239162","2"
"16534152","107"
"16792291","1875"
"17867788","871"
"18429672","15"
"18937463","46"
"19085523","241"
"19594347","9"
"20435182","116"
"20737229","45"
"20873386","44"
"21044484","46"
"21174695","61"
"21618029","54"
"21784371","315"
"22050640","32"
"22056425","20"
"22056630","68"
"22833631","122"
"23428045","95"
"24136448","1453"
"24265177","28"
"27496559","2489"
"27955513","370"
