"`id`","`max_followers`"
"788","135"
"982","1001"
"1620","456"
"1996","270"
"2727","991"
"3386","968"
"3623","2742"
"3928","715"
"5161","268"
"7149","1725"
"8184","7374"
"8390","593"
"16376","168"
"17730","364"
"17798","952"
"21218","871"
"21621","76"
"22528","4651"
"26688","2397"
"29762","551"
"29991","2363"
"31283","404"
"32023","7566"
"36713","10917"
"39027","182"
"56374","1201"
"61117","98"
"64390","1118"
"156773","3225"
"204692","1211"
"222916","118"
"231026","968"
"267105","441"
"311780","76"
"362053","147"
"419651","344"
"572040","225"
"718118","216"
"723307","77"
"738430","544"
"742622","204"
"1381021","581"
"1416473","10917"
"1434458","262"
"1486549","69"
"1526024","151"
"1891776","307"
"1900934","295"
"2252680","97"
"2404370","1480"
"2728868","5943"
"2752178","76"
"2796362","139"
"2875658","134"
"2923558","788"
"3250844","12"
"3642978","245"
"3664437","1201"
"4003838","2905"
"4563307","191"
"4563494","805"
"4819374","696"
"5593627","118"
"5598479","3225"
"5600557","182"
"5617024","1238"
"6068879","461"
"6496393","375"
"6653643","761"
"7228519","3831"
"7306673","336"
"7952993","225"
"8142691","54"
"8339162","10326"
"8405131","1162"
"8818018","1181"
"8875437","1086"
"9282939","3622"
"9626183","21019"
"9650960","5433"
"9658872","1259"
"10412281","1086"
"10435441","5433"
"10435922","1401"
"10520061","133"
"10521722","957"
"10585250","124"
"10631290","11704"
"10832897","1405"
"10834528","91"
"10955983","2718"
"10963081","42"
"11107988","1577"
"11176827","364"
"11228451","1211"
"11291526","94"
"11605642","3225"
"11625417","137"
"11707880","87"
"11746264","1401"
"11753236","3005"
"11802012","1330"
"12192051","1134"
"12749140","11704"
"13082203","2"
"13095216","319"
"13368782","52"
"13464028","12"
"13480659","590"
"13494877","774"
"13664602","752"
"14515342","190"
"14771481","715"
"15471020","169"
"15500909","109"
"15669545","28"
"15867274","136"
"16174927","340"
"16409333","466"
"17038695","747"
"17328893","926"
"18022219","277"
"19696936","269"
"21187110","1309"
"22047350","641"
"23620520","137"
"23775197","350"
"24919055","78"
"25037627","102"
"25045443","2629"
"26108120","2451"
"26550795","3"
"27633284","12"
"28317607","28"
