"`id`","`avg_followers`"
"1819","252.6667"
"2864","133.8947"
"6931","35.5000"
"7756","69.2826"
"9383","105.6923"
"10462","29.7617"
"12257","46.2857"
"16113","125.3333"
"17000","61.0000"
"20678","25.6667"
"25016","234.0000"
"25359","195.5385"
"33656","44.8824"
"36313","45.5000"
"37623","59.8571"
"42948","31.6667"
"45669","105.3333"
"49570","183.2000"
"58903","32.2000"
"64212","47.7234"
"82957","13.0000"
"85800","75.5000"
"116162","60.0000"
"126778","90.0000"
"154114","2193.0000"
"167985","111.5714"
"180685","65.3333"
"207212","74.0000"
"343698","25.9286"
"445199","306.9167"
"569534","133.8333"
"771049","33.0000"
"1261926","10.0000"
"1372746","45.6667"
"1471234","49.3333"
"1927881","10.0000"
"1965404","165.2000"
"2249262","47.0000"
"2250690","76.0000"
"2340614","33.0000"
"2476937","1208.5000"
"2807863","51.0000"
"2862977","121.0000"
"3063823","1251.0000"
"3117680","161.0000"
"3276139","367.8854"
"3631888","6.0000"
"3756185","2140.7273"
"3874746","23.8750"
"3908715","39.3333"
"4035765","184.0000"
"4069483","47.0000"
"4160390","6.2500"
"4420524","25.2857"
"4513783","39.0500"
"4540322","40.0000"
"4773093","182.6667"
"4988377","206.0000"
"5074778","13.2000"
"5205541","26.0000"
"5411876","67.6667"
"5430540","30.8000"
"5942149","22.0000"
"6253776","14.8182"
"6278863","18.0000"
"6318240","904.5000"
"7132386","158.0000"
"7190023","109.2500"
"7294438","155.6000"
"7308213","181.0000"
"7654253","16.7143"
"7738640","66.3846"
"7810452","437.8000"
"7924929","78.0000"
"7940296","37.5000"
"8012811","84.1429"
"8137228","30.8000"
"8427119","442.0000"
"8634501","139.8500"
"8688328","48.7662"
"9344074","27.0000"
"9352549","31.0714"
"9468307","24.0000"
"9717218","47.0000"
"9755937","20.5714"
"10410843","47.0000"
"10660095","5.0000"
"11120703","28.3333"
"11175147","30.0000"
"11265367","42.5000"
"11323491","29.4545"
"11338993","40.0000"
"11362536","684.6667"
"11474560","645.0000"
"11622535","62.2233"
"11706023","35.8000"
"11924541","85.1667"
"12197208","45.0000"
"12586102","582.6667"
"14457963","14.0800"
"15080529","13.5000"
"15509641","1508.0769"
"16534152","51.0000"
"17924077","51.7500"
"18429672","10.5000"
"18937463","46.0000"
"19085523","241.0000"
"19594347","9.0000"
"20138487","4.0000"
"20435182","116.0000"
"20666664","53.5385"
"20737229","28.1667"
"20873386","44.0000"
"21044484","23.6667"
"21174695","21.5000"
"22050640","10.5714"
"22056630","27.6667"
"22833631","25.1667"
"24136448","504.3333"
"24265177","28.0000"
"25830758","25.0000"
"27496559","282.4545"
"27777181","163.0000"
