"`id`","`avg_followers`"
"804708","3.0000"
"1025135","22.0000"
"1799111","16.0000"
"3487382","2.4000"
"4809226","3.0000"
"5041761","7.0000"
"5120709","41.6667"
"5377260","18.1250"
"7147408","2.6667"
"8390641","1.0000"
"9589511","484.3333"
"9599053","21.0000"
"9877090","2.0000"
"10260310","4.0000"
"11173957","25.0000"
"12526520","8.0000"
"13541961","3.0000"
"14846150","153.2206"
"15612970","3.8333"
"17036156","32.0303"
"17529102","6.0000"
"18026805","74.0000"
"18513548","12.2273"
"18714651","126.1358"
"19600642","5.0000"
"19630614","166.6667"
"19689982","13.0000"
"20508542","26.5185"
"23114966","18.0000"
"23115673","2.0000"
"24568290","2.0000"
"26091726","1.0000"
"26341053","2.0000"
"27345935","3.0000"
"28357332","4.0000"
"28952769","16.5000"
