"`id`","`avg_followers`"
"11067","221.0000"
"19019","78.4167"
"45702","300.0000"
"47940","30.0000"
"69069","38.0000"
"70499","34.0000"
"81444","10.0000"
"96763","33.0000"
"166720","2.0000"
"205834","7.0000"
"223537","103.5714"
"260066","16.0000"
"276344","7.5000"
"284018","52.3333"
"285798","34.8750"
"307612","10.5000"
"309661","96.0000"
"337343","72.8182"
"344063","66.5000"
"357887","29.3846"
"497181","1250.0000"
"546329","40.0000"
"652682","175.0000"
"677148","10.0000"
"811373","22.5000"
"839143","53.5000"
"911527","55.0000"
"1015480","758.0000"
"1195142","482.7500"
"1471568","219.0000"
"1607018","13.0000"
"1838125","43.0000"
"1903462","809.0000"
"1916255","43.0000"
"2146436","56.0000"
"2201979","25.0000"
"2207463","38.0000"
"2281243","20.0000"
"2315431","8.0000"
"2409137","10.0000"
"2422498","8.0000"
"2480777","165.0000"
"2601235","189.0000"
"2709309","1030.0000"
"2749609","38.0000"
"2768008","15.4000"
"2787691","30.7500"
"2801361","36.0000"
"3122758","480.6667"
"3287419","6.0000"
"3389811","9.8000"
"3429645","89.0000"
"3498338","59.0000"
"3769056","6105.5000"
"3827244","17.0000"
"3983276","32.0000"
"4045632","159.0000"
"4255397","75.7500"
"4428725","24.6667"
"4607985","24.2500"
"4776433","696.0000"
"5597614","22.5000"
"5602838","36.7500"
"5778983","28.5000"
"5979563","9.0000"
"6236268","16.9412"
"6861499","190.2000"
"7383416","5880.0000"
"7732133","12.0000"
"8228397","69.0000"
"8769923","12.0000"
"8913435","23.2857"
"9051214","348.0000"
"9139436","23.0000"
"9240557","54.5000"
"9511165","321.7500"
"9664486","257.1818"
"9931815","106.2857"
"10125352","85.0000"
"10432015","2.4667"
"10473430","226.2500"
"10555368","38.0000"
"11066875","44.0000"
"11127510","9.6000"
"11662013","11.0000"
"12260707","1.0000"
"12274903","158.0000"
"12308151","181.5000"
"12474524","30.5000"
"12508484","12.0000"
"12806676","4.7500"
"13570263","828.0000"
"13636329","5.3333"
"13636760","15.5000"
"14263163","13.6000"
"14543063","11.6667"
"15134766","11.0000"
"15531805","99.0000"
"15573016","25.0000"
"15718946","15.0000"
"16020916","52.0000"
"16219560","5.0000"
"16798228","35.0000"
"16834666","10.0000"
"17539972","10.3333"
"17593904","4.0000"
"18552022","96.3684"
"19122404","65.3333"
"19525779","9.0000"
"20752407","475.5000"
"21908633","52.0000"
"22208853","106.6667"
"23471356","5.0000"
"25954906","8.0000"
"26965543","8.0000"
"28117425","662.0000"
