"`id`","`avg_followers`"
"391","48.8889"
"4267","31.4902"
"9709","638.2000"
"10512","93.3333"
"10579","112.2667"
"10649","112.0000"
"13747","67.0000"
"18003","57.0909"
"18090","71.3623"
"18941","72.5000"
"21530","97.6129"
"23670","125.9000"
"24177","42.3571"
"24213","71.1250"
"24522","515.0000"
"25986","891.4286"
"28576","11.6000"
"30761","9.0000"
"35473","34.0769"
"38744","24.0500"
"39075","21.1324"
"45141","12.0000"
"53286","103.0000"
"54068","1100.0000"
"64654","12.0000"
"87869","149.2667"
"106815","91.5000"
"110992","39.8000"
"113880","1702.9231"
"118551","25.2500"
"131286","19.9500"
"150716","228.5000"
"153822","39.2000"
"185861","129.8571"
"216447","323.0000"
"242564","31.2000"
"255320","87.0000"
"319466","229.9091"
"323565","521.2000"
"348868","27.0000"
"362894","62.6000"
"366402","1150.0000"
"450328","96.0000"
"499056","15.2500"
"643697","66.3000"
"705818","103.5000"
"1008365","77.6667"
"1036996","17.7143"
"1545229","236.8750"
"1546988","38.5000"
"1819251","2.0000"
"2257096","28.4000"
"2661903","26.0000"
"3067095","271.5000"
"3290625","29.3836"
"3413879","63.0769"
"3961217","45.0000"
"4142580","33.6667"
"4192518","16.5000"
"4342100","631.6667"
"4660569","108.0000"
"5042362","13.5000"
"5095078","17.9412"
"5145060","237.0000"
"5555823","6.8000"
"5807266","23.9286"
"6013073","18.6667"
"6916565","11.0000"
"7105340","67.0000"
"7158417","28.6522"
"7420900","33.0000"
"7461031","15.2000"
"7556976","365.0000"
"7722836","641.0000"
"7808122","13.7500"
"8169424","34.0000"
"8515356","424.0000"
"8532385","119.5000"
"8576259","183.8421"
"8734343","83.5000"
"8784767","745.0000"
"9268752","172.7000"
"9400432","87.3636"
"9726637","549.0000"
"9745677","11.0000"
"9930325","78.2000"
"10233169","283.7500"
"10258995","148.0000"
"10296656","49.5600"
"10451754","545.5000"
"11072255","16.7600"
"11402707","61.2639"
"11554847","19.1667"
"11704557","6.0000"
"11737051","16.6364"
"11912097","1914.0000"
"12630000","6.0000"
"12653317","25.6667"
"12670029","978.0000"
"13481226","59.1111"
"13509074","27.5000"
"13544235","280.0000"
"13615253","10.6667"
"14957066","89.0000"
"15195328","759.0000"
"15205847","102.5000"
"15239162","2.0000"
"15363005","11.5000"
"16792291","153.6154"
"17070556","87.0000"
"17081302","86.0000"
"17708574","546.0000"
"17867788","85.5000"
"18781956","37.2308"
"19644716","10.6000"
"20163538","262.3333"
"21618029","30.5000"
"21784371","108.6667"
"22052042","33.0000"
"22056425","19.5000"
"23428045","80.5000"
"24272262","49.5000"
"27955513","144.6667"
"28376284","28.4286"
