"`id`","`max_followers`"
"391","287"
"2204","8514"
"4267","227"
"4281","64"
"6053","2046"
"8892","129"
"9709","1954"
"10512","629"
"10579","532"
"10649","112"
"13436","147"
"13718","529"
"18003","451"
"18601","164"
"18941","133"
"19030","98"
"19375","80"
"23670","608"
"24177","121"
"25986","6063"
"26636","1583"
"28576","54"
"33227","1811"
"35473","192"
"39075","273"
"41849","57"
"45141","31"
"53286","570"
"54068","1100"
"65772","739"
"106815","120"
"110992","93"
"118048","195"
"118551","53"
"131286","107"
"141145","1899"
"150716","312"
"153822","185"
"255320","320"
"313268","89"
"319466","715"
"321869","315"
"323565","2153"
"450328","177"
"499056","29"
"811401","375"
"1036996","79"
"1059797","25"
"1117036","543"
"1546988","71"
"1977847","37"
"2257096","113"
"2417208","9"
"2661903","73"
"2862294","1181"
"3048906","416"
"3067095","805"
"3290625","713"
"3361740","101"
"3413879","739"
"3465213","32"
"3961217","45"
"4142580","41"
"4342100","1667"
"4646758","990"
"4663721","152"
"4882831","355"
"5042362","45"
"5095078","144"
"5145060","541"
"5428457","188"
"5555823","16"
"5565375","45"
"6087555","31"
"6399055","82"
"6451691","92"
"6476825","20"
"6704373","639"
"6916565","30"
"7113913","371"
"7461031","29"
"7556976","365"
"8117762","408"
"8515356","1781"
"8532385","236"
"9268752","866"
"9726637","839"
"9745677","21"
"9895007","44"
"10296656","455"
"10358518","255"
"10388177","991"
"10451754","1036"
"10817458","89"
"11072255","84"
"11183490","16"
"11318999","36"
"11402707","578"
"11702237","589"
"11912097","8671"
"12326365","75"
"12449377","155"
"12520304","32"
"12630000","6"
"12653317","41"
"12670029","2658"
"13334964","291"
"13509074","55"
"13544235","280"
"13621454","49"
"13735930","96"
"14116012","15704"
"14627410","12"
"14995115","457"
"15205847","122"
"15363005","13"
"15536213","433"
"17070556","87"
"17081302","227"
"17708574","546"
"17785086","240"
"17941398","99"
"18781956","197"
"18903735","10"
"19047987","44"
"19644716","27"
"19761685","114"
"20163538","682"
"20390809","25"
"22052042","33"
"24272262","66"
"27428481","117"
"28338390","2443"
"28376284","294"
