"`id`","`max_followers`"
"2572814","4"
"3487382","6"
"4899910","12"
"5041761","7"
"5120709","96"
"6962535","10"
"9599053","21"
"11026907","1"
"11173957","27"
"12317433","2"
"12526520","8"
"14846150","2379"
"15612970","7"
"15759579","3"
"16224803","4"
"16307010","33"
"16363717","5"
"16754990","121"
"17134485","2"
"17840201","793"
"18513548","79"
"19329970","3"
"19600642","5"
"19630614","448"
"19689982","26"
"19755702","85"
"20680088","6"
"20935792","69"
"21640858","111"
"23114966","18"
"23924596","16"
"25650073","11"
"26341053","2"
"26873823","2796"
