"`id`","`max_followers`"
"18250","59"
"23429","124"
"48829","104"
"58642","367"
"78782","332"
"94451","35"
"112262","6063"
"120707","201"
"126528","22"
"189681","29"
"220953","235"
"238698","132"
"244129","14"
"244417","15"
"363605","37"
"427496","59"
"579759","8"
"615055","53"
"640609","32"
"724361","185"
"726806","60"
"750986","1764"
"1084208","64"
"1214622","79"
"1242075","172"
"1412018","41"
"1414836","100"
"1600439","5"
"1852141","640"
"1964893","43"
"2206890","54"
"2244481","97"
"2246039","3"
"2266052","56"
"2345204","128"
"2375290","1"
"2445228","5"
"2660015","305"
"2835325","241"
"2874293","20"
"3283518","167"
"3641172","19"
"3669790","4"
"3770464","7"
"3872943","141"
"4695209","47"
"4780077","700"
"4911527","2669"
"5568720","12"
"5718353","45"
"5944667","441"
"5989485","4"
"6965574","73"
"7075652","124"
"7198962","26"
"7249970","529"
"7305150","32"
"7306369","105"
"7361572","8514"
"7432562","332"
"7811703","8514"
"7883108","118"
"7883561","4483"
"8270641","4"
"8404580","47"
"8596480","5"
"8670482","2"
"8875464","143"
"9160279","15"
"9392393","53"
"9504109","48"
"9540082","215"
"9704915","93"
"9709068","225"
"9865676","198"
"9893161","10"
"9982219","22"
"10066441","3831"
"10192555","5"
"10199826","7"
"10526188","549"
"10589306","23"
"10814377","32"
"10953007","595"
"11165808","167"
"11720517","1643"
"11733127","19"
"11735060","241"
"12313618","50"
"12315617","783"
"12316998","128"
"12509066","431"
"12589909","16"
"12967267","1631"
"13747894","1967"
"14179437","46"
"14737226","414"
"14806250","1162"
"15646653","11"
"15794603","276"
"16195282","794"
"16640920","20"
"16733587","3"
"16988042","71"
"17273246","81"
"17879187","7"
"18260477","17"
"18993586","11"
"19685186","145"
"20226295","5"
"20425918","48"
"21065369","8"
"21125630","3184"
"21603107","35"
"22402010","138"
"22946554","70"
"24540619","100"
"25977484","138"
"26783304","56"
"27375757","629"
"28085151","3796"
