"`id`","`avg_followers`"
"1962","49.4324"
"2204","2377.5000"
"4281","24.9000"
"5497","172.2941"
"5629","80.4778"
"6053","300.8750"
"6978","29.8095"
"8892","13.9020"
"10594","19.5000"
"13436","27.5357"
"13718","76.5806"
"18601","42.3000"
"19030","43.8571"
"19375","32.3333"
"23085","966.8333"
"26636","85.6857"
"30402","25.2295"
"33227","914.7500"
"41849","57.0000"
"48951","67.0000"
"65772","218.1667"
"79442","16.0000"
"91363","27.0000"
"112292","44.5000"
"118048","60.8750"
"141145","234.7692"
"164085","76.2500"
"167194","1529.0000"
"176492","179.5833"
"263107","30.3333"
"313268","27.8462"
"321869","27.7091"
"811401","109.8000"
"1027466","248.0000"
"1059797","11.6667"
"1117036","275.0000"
"1778841","53.6667"
"1977847","25.5000"
"1989790","16.7564"
"2241376","37.6667"
"2417208","9.0000"
"2662867","68.2500"
"2719572","137.5000"
"2862294","123.0000"
"2889040","34.6250"
"2978560","102.0000"
"3048906","106.8571"
"3361740","22.5000"
"3465213","12.0909"
"3582345","19.8000"
"3683487","87.0000"
"3706501","11.0000"
"3814424","100.5000"
"4019026","23.6667"
"4467262","57.3333"
"4539094","531.5000"
"4646758","990.0000"
"4663721","46.5714"
"4786655","396.6667"
"4882831","77.4615"
"4894767","1122.8947"
"5428457","55.8000"
"5565375","11.0000"
"5630665","12.4167"
"6087555","18.3333"
"6191402","15.3333"
"6210932","19.0000"
"6399055","41.5000"
"6451691","42.0000"
"6476825","13.0000"
"6587692","28.3333"
"6704373","149.7143"
"7113913","56.6667"
"7170693","96.6429"
"7326980","67.7778"
"8117762","221.3333"
"8296041","10.8750"
"8532554","59.3333"
"8939716","86.5000"
"9078570","63.4000"
"9895007","44.0000"
"9983686","132.5000"
"10280298","35.0000"
"10358518","58.8750"
"10388177","96.0625"
"10773454","50.0000"
"10817458","29.1667"
"11183490","16.0000"
"11318999","10.7273"
"11702237","186.0000"
"12326365","30.0000"
"12449377","155.0000"
"12520304","18.6000"
"13334964","77.9286"
"13621454","14.4000"
"13735930","96.0000"
"14116012","5370.3333"
"14328878","36.0000"
"14627410","12.0000"
"14773650","9.3000"
"14995115","30.2813"
"15536213","95.2000"
"16230400","643.1000"
"16428381","51.6667"
"17785086","105.2000"
"17941398","53.0000"
"18903735","10.0000"
"19047987","16.0000"
"19569279","493.5000"
"19717550","254.0000"
"19761685","114.0000"
"20390809","25.0000"
"22053762","110.1875"
"22095887","15.0000"
"24729237","77.0000"
"27428481","53.0000"
"27671937","5.0000"
"27676276","47.0000"
"27977354","15.0000"
"28033868","10.2500"
"28338390","1681.5000"
