"`id`","`max_followers`"
"45702","599"
"47940","56"
"69069","38"
"81444","10"
"90988","24"
"96763","44"
"166720","2"
"205834","8"
"260066","25"
"284018","143"
"309661","128"
"337343","484"
"357887","182"
"497181","1250"
"677148","12"
"811373","38"
"839143","100"
"911527","55"
"1015480","758"
"1471568","219"
"1903462","809"
"2201979","25"
"2207463","38"
"2281243","20"
"2409137","10"
"2422498","8"
"2480777","165"
"2601235","189"
"2749609","38"
"2768008","42"
"2787691","48"
"3122758","924"
"3389811","23"
"3498338","159"
"3827244","40"
"4045632","159"
"4428725","48"
"5602838","79"
"5778983","84"
"5979563","9"
"6861499","529"
"8769923","12"
"8913435","69"
"9051214","348"
"9139436","23"
"9240557","91"
"9931815","2397"
"10125352","85"
"10432015","7"
"10555368","38"
"11127510","20"
"12260707","1"
"12274903","158"
"12308151","327"
"12474524","58"
"12508484","12"
"13636329","11"
"14543063","30"
"15134766","11"
"15531805","99"
"16219560","5"
"16798228","35"
"17193964","100"
"18552022","333"
"19525779","9"
"23471356","12"
"26965543","10"
"28117425","1091"
