"`id`","`max_followers`"
"1962","364"
"3052","228"
"4003","392"
"4473","181"
"5497","1856"
"5629","1566"
"6978","168"
"9713","2424"
"10594","77"
"10686","187"
"19579","87"
"22551","194"
"23085","8671"
"27046","196"
"30402","389"
"32107","293"
"36591","281"
"38658","159"
"48951","96"
"53018","77"
"54785","52"
"79442","16"
"87135","327"
"91363","27"
"98743","364"
"100266","79"
"102179","301"
"112292","70"
"159999","225"
"164085","210"
"167194","4312"
"176492","1967"
"263107","65"
"267717","213"
"543497","433"
"1027466","248"
"1352199","4651"
"1690743","614"
"1713442","1181"
"1778841","319"
"1893164","511"
"1989790","398"
"2241376","77"
"2447212","598"
"2662867","94"
"2702530","330"
"2719572","293"
"2889040","110"
"2978560","102"
"3136825","319"
"3582345","31"
"3683487","87"
"3706501","17"
"3814424","140"
"4019026","33"
"4026408","16"
"4136027","41"
"4326459","240"
"4467262","106"
"4539094","1018"
"4629745","979"
"4786655","1162"
"4894767","8556"
"4933925","4099"
"5195927","4099"
"5630665","86"
"6085795","61"
"6169171","59"
"6191402","19"
"6196408","320"
"6210932","36"
"6280726","27"
"6412773","125"
"6533556","4"
"6587692","45"
"6611850","91"
"6816151","125"
"7164842","142"
"7170693","1201"
"7189065","1661"
"7326980","260"
"7537997","2821"
"8296041","33"
"8532554","316"
"8566806","486"
"8939716","158"
"9078570","219"
"9659919","10"
"9709116","729"
"9912292","58"
"9975034","36"
"9983686","323"
"10138664","2397"
"10280298","35"
"10282819","35"
"10773454","50"
"10819648","616"
"11001304","1600"
"11095632","2011"
"11570176","31"
"12402890","16"
"12582238","28"
"13398866","21"
"13489032","176"
"13490952","756"
"13523497","50"
"13539138","24"
"13635889","35"
"13636819","256"
"13759969","329"
"14328878","36"
"14773650","39"
"14847736","21"
"14897153","97"
"15417633","59"
"16154948","46"
"16230400","3796"
"16423884","2379"
"16428381","107"
"17020688","86"
"18097224","42"
"19569279","629"
"19717550","254"
"21719074","75"
"22053762","564"
"22054830","86"
"22095887","15"
"23458675","125"
"24729237","77"
"27671937","5"
"27676276","165"
"27977354","25"
"28033868","35"
