"`id`","`avg_followers`"
"392","32.3345"
"675","86.5890"
"788","22.0635"
"1620","44.9500"
"1799","34.0190"
"1996","70.4545"
"2146","105.5926"
"2727","82.7534"
"3623","150.9368"
"3928","81.7917"
"4711","122.3181"
"4929","79.0800"
"5161","49.7200"
"5455","33.3576"
"6313","413.5814"
"6413","39.1458"
"7149","281.2222"
"7317","43.5455"
"8184","113.8517"
"8390","64.8718"
"9259","341.7328"
"17730","85.7143"
"17798","65.6222"
"21218","68.1000"
"22528","93.2250"
"25380","26.0625"
"26688","77.0854"
"28556","45.4000"
"29762","26.9375"
"29991","170.6452"
"31283","122.5000"
"32023","276.0110"
"36713","156.4084"
"39027","34.0500"
"39044","116.6364"
"56374","79.0455"
"204692","71.0244"
"267105","63.3750"
"718118","37.6875"
"738430","42.4255"
"742622","46.6250"
"1381021","29.7807"
"1416473","1760.5714"
"1434458","25.6250"
"1486549","24.1500"
"1526024","64.0000"
"1900934","46.0417"
"2281819","39.4000"
"2404370","162.0909"
"2728868","148.9483"
"2752178","18.9048"
"2923558","150.6667"
"3529137","43.7143"
"3664437","27.8020"
"3992573","30.7692"
"4003838","82.4153"
"4115240","27.4286"
"4563307","57.6000"
"4563494","40.9910"
"4819374","81.7000"
"5140545","44.7619"
"5312058","97.0645"
"5522468","41.2258"
"5598479","53.5976"
"5617024","98.7857"
"5817753","25.7719"
"6068879","43.2727"
"6653643","64.9394"
"7228519","158.2685"
"7306673","50.9412"
"8405131","117.5667"
"8818018","97.5000"
"8875437","192.7000"
"8905797","95.9247"
"9282939","556.5714"
"9626183","344.1769"
"9650960","1437.2857"
"9658872","70.0441"
"10396798","5.0435"
"10412281","105.0500"
"10435441","300.9250"
"10521722","86.0000"
"10631290","1042.6923"
"10832897","106.2857"
"10955983","877.7143"
"11107988","141.7714"
"11139593","34.7581"
"11227723","119.8571"
"11228451","76.8200"
"11605642","342.1875"
"11753236","160.5000"
"11785544","47.1111"
"11802012","456.3333"
"12170217","67.7000"
"12192051","142.5000"
"12682853","58.6087"
"12749140","312.0900"
"12814859","37.2451"
"13095216","30.3704"
"13368782","26.7500"
"13464028","9.5000"
"13640327","58.5000"
"13742311","14.0000"
"14515342","24.8214"
"14771481","37.8354"
"15017277","28.1250"
"15500909","32.3333"
"15867274","47.8000"
"16174927","82.4286"
"16988139","88.2857"
"17328893","392.0000"
"18022219","26.3284"
"18810686","53.0000"
"20532547","248.7500"
"21187110","340.7500"
"22046894","73.1111"
"22047350","67.4054"
"23620520","35.8571"
"23775197","144.0000"
"24919055","39.4000"
"25037627","32.5000"
"25045443","405.1250"
"26108120","676.0000"
"28317607","11.0000"
"28625357","27.0000"
