"`id`","`has_description`"
"185861","TRUE"
"189681","TRUE"
"198069","TRUE"
"201672","TRUE"
"204692","TRUE"
"205834","TRUE"
"206270","TRUE"
"209924","TRUE"
"214505","TRUE"
"214552","TRUE"
"216447","TRUE"
"219601","TRUE"
"220953","TRUE"
"222916","TRUE"
"223537","TRUE"
"224435","TRUE"
"231026","TRUE"
"233193","TRUE"
"238698","TRUE"
"242564","TRUE"
"243431","TRUE"
"244129","TRUE"
"244417","TRUE"
"246730","TRUE"
"255320","TRUE"
"260066","TRUE"
"262948","TRUE"
"263107","TRUE"
"267105","TRUE"
"267717","TRUE"
"276344","TRUE"
"280617","TRUE"
"284018","TRUE"
"284075","TRUE"
"285798","TRUE"
"303616","TRUE"
"306833","TRUE"
"306908","TRUE"
"307612","TRUE"
"309661","TRUE"
"311780","TRUE"
"313268","TRUE"
"319466","TRUE"
"321869","TRUE"
"323565","TRUE"
"326476","TRUE"
"328815","TRUE"
"335881","TRUE"
"337343","TRUE"
"338816","TRUE"
"343698","TRUE"
"344063","TRUE"
"348868","TRUE"
"357887","TRUE"
"362053","TRUE"
"362894","TRUE"
"363605","TRUE"
"366402","TRUE"
"383256","TRUE"
"386790","TRUE"
"410586","TRUE"
"414089","TRUE"
"419651","TRUE"
"422791","TRUE"
"427496","TRUE"
"427934","TRUE"
"440795","TRUE"
"450059","TRUE"
"450328","TRUE"
"454235","TRUE"
"455467","TRUE"
"460773","TRUE"
"497181","TRUE"
"499056","TRUE"
"519333","TRUE"
"543497","TRUE"
"546329","TRUE"
"572040","TRUE"
"576260","TRUE"
"579759","TRUE"
"601064","TRUE"
"603530","TRUE"
"615055","TRUE"
"640609","TRUE"
"643697","TRUE"
"651549","TRUE"
"652682","TRUE"
"673716","TRUE"
"677148","TRUE"
"683351","TRUE"
"686542","TRUE"
"696102","TRUE"
"705818","TRUE"
"718118","TRUE"
"719340","TRUE"
"723307","TRUE"
"724361","TRUE"
"726806","TRUE"
"738430","TRUE"
"742622","TRUE"
"743378","TRUE"
"750986","TRUE"
"771049","TRUE"
"772395","TRUE"
"784448","TRUE"
"788950","TRUE"
"811373","TRUE"
"811401","TRUE"
"812923","TRUE"
"839143","TRUE"
"843214","TRUE"
"856494","TRUE"
"870927","TRUE"
"911527","TRUE"
"927777","TRUE"
"979207","TRUE"
"1001578","TRUE"
"1008365","TRUE"
"1009716","TRUE"
"1011413","TRUE"
"1015480","TRUE"
"1017307","TRUE"
"1025135","TRUE"
"1027466","TRUE"
"1031791","TRUE"
"1036996","TRUE"
"1059797","TRUE"
"1078185","TRUE"
"1080519","TRUE"
"1083125","TRUE"
"1084208","TRUE"
"1084793","TRUE"
"1093294","TRUE"
"1098117","TRUE"
"1099822","TRUE"
"1100704","TRUE"
"1117036","TRUE"
"1124381","TRUE"
"1186739","TRUE"
"1189471","TRUE"
"1195142","TRUE"
"1214622","TRUE"
"1228020","TRUE"
"1242075","TRUE"
"1248826","TRUE"
"1261926","TRUE"
"1270737","TRUE"
"1303073","TRUE"
"1328973","TRUE"
"1344179","TRUE"
"1352199","TRUE"
"1354419","TRUE"
"1366256","TRUE"
"1367068","TRUE"
"1367228","TRUE"
"1372746","TRUE"
"1381021","TRUE"
"1382032","TRUE"
"1391701","TRUE"
"1397125","TRUE"
"1397723","TRUE"
"1404659","TRUE"
"1412018","TRUE"
"1414836","TRUE"
"1416473","TRUE"
"1432150","TRUE"
"1434458","TRUE"
"1436875","TRUE"
"1437288","TRUE"
"1438441","TRUE"
"1449551","TRUE"
"1453441","TRUE"
"1457727","TRUE"
"1471234","TRUE"
"1471568","TRUE"
"1474764","TRUE"
"1486549","TRUE"
"1492346","TRUE"
"1500447","TRUE"
"1524373","TRUE"
"1526024","TRUE"
"1528221","TRUE"
"1545229","TRUE"
"1546988","TRUE"
"1600439","TRUE"
"1607018","TRUE"
"1619676","TRUE"
"1690743","TRUE"
"1698522","TRUE"
"1713442","TRUE"
"1749436","TRUE"
"1764042","TRUE"
"1778841","TRUE"
"1799111","TRUE"
"1819251","TRUE"
"1838125","TRUE"
"1852141","TRUE"
"1890840","TRUE"
"1891776","TRUE"
"1892389","TRUE"
"1893164","TRUE"
"1900934","TRUE"
"1903462","TRUE"
"1916255","TRUE"
"1918558","TRUE"
"1927874","TRUE"
"1927881","TRUE"
"1961397","TRUE"
"1964893","TRUE"
"1965404","TRUE"
"1977847","TRUE"
"1991636","TRUE"
"2001763","TRUE"
"2020393","TRUE"
"2051124","TRUE"
"2145058","TRUE"
"2146436","TRUE"
"2201979","TRUE"
"2206890","TRUE"
"2207463","TRUE"
"2213273","TRUE"
"2229635","TRUE"
"2241376","TRUE"
"2244312","TRUE"
"2244481","TRUE"
"2246039","TRUE"
"2249262","TRUE"
"2250690","TRUE"
"2252680","TRUE"
"2255699","TRUE"
"2257096","TRUE"
"2266052","TRUE"
"2281243","TRUE"
"2281819","TRUE"
"2294498","TRUE"
"2312008","TRUE"
"2315431","TRUE"
"2340614","TRUE"
"2345204","TRUE"
"2363619","TRUE"
"2363758","TRUE"
"2365356","TRUE"
"2372421","TRUE"
"2375290","TRUE"
"2381629","TRUE"
"2381679","TRUE"
"2389915","TRUE"
"2404370","TRUE"
"2409137","TRUE"
"2417208","TRUE"
"2421460","TRUE"
"2422498","TRUE"
"2434520","TRUE"
"2445228","TRUE"
"2476937","TRUE"
"2480777","TRUE"
"2513836","TRUE"
"2535892","TRUE"
"2572814","TRUE"
"2624458","TRUE"
"2660015","TRUE"
"2661903","TRUE"
"2702530","TRUE"
"2709309","TRUE"
"2719572","TRUE"
"2728868","TRUE"
"2739871","TRUE"
"2749609","TRUE"
"2752178","TRUE"
"2768008","TRUE"
"2771181","TRUE"
"2787691","TRUE"
"2796362","TRUE"
"2798946","TRUE"
"2801361","TRUE"
"2807863","TRUE"
"2835325","TRUE"
"2847808","TRUE"
"2862294","TRUE"
"2862977","TRUE"
"2873371","TRUE"
"2874293","TRUE"
"2875658","TRUE"
"2886485","TRUE"
"2889040","TRUE"
"2909754","TRUE"
"2922319","TRUE"
"2922620","TRUE"
"2940997","TRUE"
"2945321","TRUE"
"2978560","TRUE"
"2987164","TRUE"
"3004769","TRUE"
"3018979","TRUE"
"3036595","TRUE"
"3036835","TRUE"
"3040840","TRUE"
"3048906","TRUE"
"3063823","TRUE"
"3095960","TRUE"
"3117680","TRUE"
"3119886","TRUE"
"3122758","TRUE"
"3136825","TRUE"
"3163883","TRUE"
"3173347","TRUE"
"3180895","TRUE"
"3201792","TRUE"
"3205751","TRUE"
"3213902","TRUE"
"3224446","TRUE"
"3231556","TRUE"
"3236423","TRUE"
"3250844","TRUE"
"3276139","TRUE"
"3283518","TRUE"
"3286419","TRUE"
"3287419","TRUE"
"3296518","TRUE"
"3308302","TRUE"
"3321949","TRUE"
"3346024","TRUE"
"3361740","TRUE"
"3368849","TRUE"
"3370838","TRUE"
"3389811","TRUE"
"3407626","TRUE"
"3413879","TRUE"
"3427780","TRUE"
"3429645","TRUE"
"3434493","TRUE"
"3462816","TRUE"
"3465213","TRUE"
"3487382","TRUE"
"3498338","TRUE"
"3499917","TRUE"
"3513117","TRUE"
"3523460","TRUE"
"3524332","TRUE"
"3529137","TRUE"
"3582345","TRUE"
"3592410","TRUE"
"3594572","TRUE"
"3610783","TRUE"
"3631888","TRUE"
"3641172","TRUE"
"3642978","TRUE"
"3649472","TRUE"
"3659421","TRUE"
"3664437","TRUE"
"3669790","TRUE"
"3683487","TRUE"
"3706501","TRUE"
"3708910","TRUE"
"3714509","TRUE"
"3716978","TRUE"
"3752385","TRUE"
"3756185","TRUE"
"3759006","TRUE"
"3769056","TRUE"
"3770464","TRUE"
"3807912","TRUE"
"3814424","TRUE"
"3827244","TRUE"
"3863843","TRUE"
"3872943","TRUE"
"3874746","TRUE"
"3877884","TRUE"
"3893356","TRUE"
"3905191","TRUE"
"3908715","TRUE"
"3943403","TRUE"
"3961217","TRUE"
"3983276","TRUE"
"3992573","TRUE"
"4003838","TRUE"
"4019026","TRUE"
"4026408","TRUE"
"4035765","TRUE"
"4052435","TRUE"
"4058558","TRUE"
