"`project_id`","`number_of_commits`"
"24934085","311"
"24944429","355"
"24956596","101"
"24959908","136"
"24996809","32"
"25029093","26"
"25031693","41"
"25037627","43"
"25073268","54"
"25090094","20"
"25108643","86"
"25139441","6"
"25167525","1"
"25203109","13"
"25302591","24"
"25382198","99"
"25422470","3"
"25533958","32"
"25625314","42"
"25859912","36"
"25889986","24"
"25895634","1"
"26108120","53"
"26138121","106"
"26155191","75"
"26164589","4"
"26166110","1169"
"26190527","107"
"26206430","1"
"26222249","3"
"26236586","1"
"26245476","2911"
"26246385","249"
"26275189","26"
"26279748","3"
"26284149","77"
"26301794","2"
"26319234","7"
"26352309","1"
"26424759","1"
"26480180","5"
"26504469","78"
"26525696","21"
"26564562","13"
"26639653","37"
"26779299","25"
"26922010","1188"
"26985008","535"
"27026282","322"
"27208040","7"
"27235602","3"
"27276128","1"
"27328025","2"
"27386437","67"
"27431484","12"
"27491012","44"
"27530966","5"
"27580781","6"
"27630499","7"
"27667706","59"
"27673453","2"
"27709594","10"
"27905590","2"
"27930209","43"
"27974106","16"
"27979012","8"
"28106803","43"
"28110760","3"
"28182362","2"
"28207543","3"
"28229053","25"
"28244762","2"
"28251962","1"
"28330860","13"
"28332309","7"
"28332943","12"
"28357434","8"
"28442707","3"
"28541095","10"
"28563666","1"
"28573219","5"
"28575855","22"
"28580433","23"
"28590868","2"
"28591147","35"
"28702077","27"
"28715391","1"
"28746032","3"
"28768114","8"
"28770264","2"
"28866187","117"
"28895758","1"
"28963802","5"
"28992266","36"
"29048375","2"
"29118645","1"
"29119701","1"
